Question,Command,Class
I have a satellite image of deforestation in the Amazon. Can you convert this raster image into a shapefile so I can analyze the affected areas?,"gdal_polygonize.py raster.tif -f ""ESRI Shapefile"" output.shp",Vector
I need to trim my property boundary shapefile using the city limits. How do I clip this vector layer?,ogr2ogr -clipsrc clip_layer.shp output.shp input.shp,Vector
"I have separate shapefiles for roads, buildings, and parks in my neighborhood. Can you combine these into a single layer?",ogrmerge.py -o merged_output.shp input1.shp input2.shp,Vector
My GPS data is in a different coordinate system than my mapping project. Convert this input.shp to WGS84 for me.,ogr2ogr -t_srs EPSG:4326 output.shp input.shp,Vector
I need to share my flood zone map with a web developer. Please convert input.shp to GeoJSON format.,ogr2ogr -f GeoJSON output.json input.shp,Vector
Can you give me the statistical information about this elevation raster of Mount Everest?,gdalinfo -stats raster.tif,Vector
Find the 'PROJECT_ID' field in the metadata of this raster,gdalinfo input.tif | grep 'CUSTOM_METADATA_KEY',Metadata
Save the metadata from the vegetation_index.tif file to a JSON file,gdalinfo -json input.tif > metadata.json,Metadata
Get the coordinate system of the snowpack.tif file in WKT format,gdalsrsinfo -o wkt input.tif,Metadata
Check for RPC metadata in the high_res_satellite.tif image,gdalinfo -mdd rpc input.tif,Metadata
Display detailed metadata for all bands in the agricultural_fields.tif,gdalinfo -stats input.tif,Metadata
Find out what compression method is used in the aerial_photo.tif,gdalinfo input.tif | grep 'COMPRESSION',Metadata
Save the first band's metadata from this Landsat scene to a file,gdalinfo -b 1 input.tif > band1_metadata.txt,Metadata
Update the 'DATA_OWNER' field in the metadata of this raster,gdal_edit.py -mo 'CUSTOM_KEY=NewValue' input.tif,Metadata
Remove metadata from the XML domain of the traffic_analysis.tif file,gdal_edit.py -unsetmd DOMAIN input.tif,Metadata
Transform my local coordinate system map to standard WGS84 for international collaboration.,gdalwarp -t_srs EPSG:4326 local_map.tif global_map.tif,Raster
I need to divide my large national park map into smaller sections for printed trail guides.,gdalwarp -cutline trail_sections.shp -crop_to_cutline park_map.tif trail_guide.tif,Raster
